Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Gym/Workout,Georgette,Black,Minimalist,Outdoor (Humid),0.47,0
Traditional Wedding,Polyester,White,Professional,Outdoor (Humid),0.37,0
Traditional Wedding,Polyester,Emerald Green,Bold,Indoor (AC),0.43,0
Temple Visit,Viscose,Earth Tone,Bold,Indoor (AC),0.33,0
Traditional Wedding,Silk,Black,Bold,Indoor (AC),0.77,1
Corporate Meeting,Silk,Navy Blue,Bold,Indoor (AC),0.31,0
Pola/Market,Cotton,Earth Tone,Minimalist,Indoor (AC),0.43,0
Dinner Gala,Silk,Maroon,Bold,Indoor (AC),0.82,1
Traditional Wedding,Cotton,Earth Tone,Minimalist,Indoor (AC),0.13,0
Gym/Workout,Viscose,White,Professional,Indoor (AC),0.48,0
Corporate Meeting,Polyester,Earth Tone,Minimalist,Indoor (AC),0.12,0
Temple Visit,Viscose,White,Minimalist,Indoor (AC),0.26,0
Beach Party,Georgette,Navy Blue,Bold,Indoor (AC),0.19,0
Traditional Wedding,Polyester,Black,Bold,Outdoor (Humid),0.23,0
Beach Party,Linen,Black,Professional,Indoor (AC),0.5,0
Traditional Wedding,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.76,1
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.49,0
Dinner Gala,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.76,1
Traditional Wedding,Georgette,Maroon,Professional,Indoor (AC),0.65,0
Pola/Market,Linen,Navy Blue,Bold,Outdoor (Humid),0.6,0
Corporate Meeting,Viscose,Navy Blue,Bold,Outdoor (Humid),0.41,0
Gym/Workout,Cotton,Maroon,Bold,Indoor (AC),0.28,0
Temple Visit,Linen,White,Bold,Outdoor (Humid),0.78,1
Traditional Wedding,Polyester,Earth Tone,Bold,Outdoor (Humid),0.36,0
Temple Visit,Cotton,White,Professional,Indoor (AC),0.32,0
Dinner Gala,Cotton,Emerald Green,Professional,Indoor (AC),0.15,0
Temple Visit,Viscose,Emerald Green,Minimalist,Indoor (AC),0.25,0
Temple Visit,Silk,Black,Bold,Indoor (AC),0.65,0
Dinner Gala,Silk,Black,Professional,Outdoor (Humid),0.68,0
Beach Party,Cotton,Navy Blue,Bold,Indoor (AC),0.3,0
Dinner Gala,Polyester,Navy Blue,Professional,Indoor (AC),0.33,0
Beach Party,Georgette,Maroon,Professional,Indoor (AC),0.15,0
Corporate Meeting,Viscose,Maroon,Minimalist,Outdoor (Humid),0.41,0
Beach Party,Silk,Navy Blue,Minimalist,Indoor (AC),0.35,0
Beach Party,Polyester,Black,Professional,Indoor (AC),0.45,0
Dinner Gala,Silk,Black,Bold,Outdoor (Humid),0.7,0
Beach Party,Cotton,Black,Professional,Outdoor (Humid),0.65,0
Pola/Market,Polyester,White,Professional,Indoor (AC),0.5,0
Pola/Market,Polyester,White,Bold,Outdoor (Humid),0.39,0
Dinner Gala,Georgette,Earth Tone,Professional,Indoor (AC),0.64,0
Traditional Wedding,Silk,Navy Blue,Bold,Outdoor (Humid),0.89,1
Corporate Meeting,Silk,Black,Professional,Outdoor (Humid),0.67,0
Traditional Wedding,Cotton,Maroon,Bold,Indoor (AC),0.41,0
Gym/Workout,Linen,Earth Tone,Professional,Outdoor (Humid),0.56,0
Pola/Market,Polyester,Maroon,Minimalist,Outdoor (Humid),0.37,0
Temple Visit,Georgette,Navy Blue,Bold,Indoor (AC),0.33,0
Corporate Meeting,Polyester,Maroon,Professional,Indoor (AC),0.49,0
Corporate Meeting,Polyester,Maroon,Minimalist,Indoor (AC),0.43,0
Corporate Meeting,Georgette,Black,Professional,Indoor (AC),0.69,0
Temple Visit,Linen,Emerald Green,Bold,Indoor (AC),0.27,0
Beach Party,Linen,Earth Tone,Professional,Outdoor (Humid),0.85,1
Gym/Workout,Polyester,Navy Blue,Professional,Outdoor (Humid),0.46,0
Gym/Workout,Cotton,Black,Minimalist,Outdoor (Humid),0.68,0
Temple Visit,Linen,Maroon,Minimalist,Outdoor (Humid),0.63,0
Beach Party,Georgette,White,Bold,Outdoor (Humid),0.37,0
Corporate Meeting,Viscose,Black,Bold,Indoor (AC),0.4,0
Gym/Workout,Cotton,Emerald Green,Minimalist,Indoor (AC),0.35,0
Traditional Wedding,Silk,Maroon,Professional,Indoor (AC),0.84,1
Beach Party,Linen,Navy Blue,Professional,Indoor (AC),0.28,0
Beach Party,Cotton,Earth Tone,Bold,Outdoor (Humid),0.6,0
Beach Party,Linen,White,Bold,Indoor (AC),0.3,0
Beach Party,Cotton,Emerald Green,Professional,Outdoor (Humid),0.85,1
Gym/Workout,Viscose,Black,Minimalist,Outdoor (Humid),0.35,0
Temple Visit,Viscose,White,Professional,Indoor (AC),0.3,0
Pola/Market,Polyester,White,Minimalist,Outdoor (Humid),0.12,0
Pola/Market,Polyester,Maroon,Minimalist,Indoor (AC),0.1,0
Beach Party,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.26,0
Dinner Gala,Cotton,White,Bold,Outdoor (Humid),0.56,0
Temple Visit,Silk,Black,Professional,Indoor (AC),0.67,0
Dinner Gala,Georgette,Emerald Green,Professional,Outdoor (Humid),0.77,1
Dinner Gala,Cotton,Maroon,Minimalist,Outdoor (Humid),0.54,0
Dinner Gala,Polyester,Navy Blue,Bold,Outdoor (Humid),0.37,0
Pola/Market,Georgette,Black,Professional,Indoor (AC),0.12,0
Corporate Meeting,Polyester,Earth Tone,Professional,Indoor (AC),0.6,0
Traditional Wedding,Viscose,White,Bold,Indoor (AC),0.47,0
Temple Visit,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.29,0
Corporate Meeting,Linen,Navy Blue,Minimalist,Indoor (AC),0.16,0
Corporate Meeting,Cotton,Black,Bold,Outdoor (Humid),0.54,0
Pola/Market,Silk,Earth Tone,Minimalist,Indoor (AC),0.4,0
Gym/Workout,Georgette,Maroon,Professional,Indoor (AC),0.16,0
Gym/Workout,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.14,0
Corporate Meeting,Cotton,Navy Blue,Bold,Outdoor (Humid),0.68,0
Pola/Market,Georgette,Emerald Green,Minimalist,Indoor (AC),0.47,0
Dinner Gala,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.19,0
Corporate Meeting,Linen,White,Bold,Indoor (AC),0.1,0
Corporate Meeting,Linen,White,Professional,Outdoor (Humid),0.86,1
Gym/Workout,Viscose,Maroon,Bold,Outdoor (Humid),0.45,0
Dinner Gala,Viscose,Navy Blue,Bold,Indoor (AC),0.46,0
Temple Visit,Linen,Black,Bold,Outdoor (Humid),0.73,0
Temple Visit,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.82,1
Pola/Market,Georgette,Maroon,Professional,Indoor (AC),0.5,0
Corporate Meeting,Linen,Black,Minimalist,Outdoor (Humid),0.77,1
Gym/Workout,Cotton,Navy Blue,Bold,Outdoor (Humid),0.6,0
Gym/Workout,Georgette,White,Minimalist,Indoor (AC),0.28,0
Traditional Wedding,Silk,Navy Blue,Bold,Indoor (AC),0.9,1
Gym/Workout,Polyester,White,Professional,Indoor (AC),0.42,0
Gym/Workout,Silk,Black,Professional,Indoor (AC),0.44,0
Dinner Gala,Polyester,White,Professional,Indoor (AC),0.5,0
Temple Visit,Silk,White,Bold,Outdoor (Humid),0.2,0
Dinner Gala,Silk,Navy Blue,Minimalist,Indoor (AC),0.79,1
Beach Party,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.41,0
Beach Party,Viscose,Black,Professional,Outdoor (Humid),0.3,0
Pola/Market,Cotton,White,Minimalist,Indoor (AC),0.5,0
Beach Party,Polyester,Navy Blue,Bold,Indoor (AC),0.5,0
Dinner Gala,Silk,Emerald Green,Bold,Indoor (AC),0.86,1
Traditional Wedding,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.76,1
Gym/Workout,Cotton,Maroon,Professional,Indoor (AC),0.19,0
Traditional Wedding,Linen,Earth Tone,Professional,Outdoor (Humid),0.88,1
Corporate Meeting,Silk,Earth Tone,Minimalist,Indoor (AC),0.58,0
Temple Visit,Silk,White,Bold,Indoor (AC),0.7,0
Beach Party,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.34,0
Pola/Market,Cotton,Emerald Green,Minimalist,Indoor (AC),0.24,0
Dinner Gala,Linen,Navy Blue,Bold,Indoor (AC),0.16,0
Traditional Wedding,Cotton,Maroon,Minimalist,Outdoor (Humid),0.63,0
Corporate Meeting,Georgette,Black,Minimalist,Indoor (AC),0.43,0
Beach Party,Linen,White,Professional,Indoor (AC),0.33,0
Temple Visit,Cotton,Emerald Green,Professional,Indoor (AC),0.31,0
Pola/Market,Silk,Maroon,Bold,Indoor (AC),0.52,0
Beach Party,Cotton,White,Minimalist,Indoor (AC),0.37,0
Dinner Gala,Linen,White,Bold,Indoor (AC),0.22,0
Beach Party,Polyester,Black,Minimalist,Indoor (AC),0.24,0
Dinner Gala,Silk,Maroon,Bold,Outdoor (Humid),0.89,1
Gym/Workout,Viscose,Navy Blue,Bold,Indoor (AC),0.47,0
Corporate Meeting,Polyester,Earth Tone,Professional,Indoor (AC),0.67,0
Corporate Meeting,Linen,Navy Blue,Minimalist,Indoor (AC),0.49,0
Corporate Meeting,Viscose,Navy Blue,Bold,Outdoor (Humid),0.45,0
Beach Party,Georgette,White,Bold,Outdoor (Humid),0.44,0
Corporate Meeting,Viscose,White,Professional,Indoor (AC),0.78,1
Traditional Wedding,Silk,Navy Blue,Minimalist,Outdoor (Humid),0.61,0
Gym/Workout,Linen,Emerald Green,Professional,Outdoor (Humid),0.67,0
Pola/Market,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.39,0
Corporate Meeting,Cotton,Emerald Green,Bold,Outdoor (Humid),0.78,1
Dinner Gala,Viscose,Black,Bold,Indoor (AC),0.29,0
Pola/Market,Georgette,Emerald Green,Minimalist,Indoor (AC),0.22,0
Traditional Wedding,Georgette,White,Bold,Indoor (AC),0.51,0
Beach Party,Georgette,White,Minimalist,Indoor (AC),0.46,0
Pola/Market,Georgette,Navy Blue,Professional,Outdoor (Humid),0.24,0
Pola/Market,Silk,Maroon,Professional,Outdoor (Humid),0.36,0
Beach Party,Linen,Maroon,Minimalist,Indoor (AC),0.19,0
Beach Party,Polyester,Maroon,Professional,Outdoor (Humid),0.45,0
Temple Visit,Viscose,Black,Bold,Indoor (AC),0.11,0
Dinner Gala,Cotton,Earth Tone,Minimalist,Indoor (AC),0.26,0
Temple Visit,Linen,Earth Tone,Bold,Outdoor (Humid),0.75,1
Gym/Workout,Viscose,Navy Blue,Minimalist,Indoor (AC),0.22,0
Dinner Gala,Silk,Black,Professional,Outdoor (Humid),0.7,0
Dinner Gala,Cotton,Maroon,Professional,Indoor (AC),0.37,0
Dinner Gala,Viscose,Emerald Green,Professional,Indoor (AC),0.44,0
Pola/Market,Linen,Earth Tone,Bold,Indoor (AC),0.4,0
Dinner Gala,Georgette,Maroon,Minimalist,Outdoor (Humid),0.56,0
Corporate Meeting,Linen,Navy Blue,Bold,Outdoor (Humid),0.79,1
Gym/Workout,Linen,Earth Tone,Bold,Outdoor (Humid),0.67,0
Beach Party,Cotton,Earth Tone,Bold,Outdoor (Humid),0.71,0
Temple Visit,Georgette,Navy Blue,Bold,Outdoor (Humid),0.31,0
Dinner Gala,Viscose,Navy Blue,Professional,Indoor (AC),0.18,0
Corporate Meeting,Polyester,White,Minimalist,Indoor (AC),0.11,0
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.1,0
Traditional Wedding,Cotton,Emerald Green,Professional,Outdoor (Humid),0.85,1
Gym/Workout,Polyester,Navy Blue,Professional,Outdoor (Humid),0.32,0
Gym/Workout,Viscose,Earth Tone,Minimalist,Indoor (AC),0.45,0
Pola/Market,Linen,Navy Blue,Professional,Outdoor (Humid),0.83,1
Beach Party,Polyester,Emerald Green,Bold,Indoor (AC),0.12,0
Dinner Gala,Georgette,Emerald Green,Bold,Indoor (AC),0.76,1
Pola/Market,Viscose,Emerald Green,Professional,Outdoor (Humid),0.34,0
Corporate Meeting,Linen,Emerald Green,Professional,Outdoor (Humid),1.0,1
Pola/Market,Polyester,Black,Professional,Indoor (AC),0.11,0
Corporate Meeting,Viscose,Earth Tone,Professional,Outdoor (Humid),0.7,0
Gym/Workout,Georgette,Emerald Green,Professional,Outdoor (Humid),0.14,0
Beach Party,Viscose,Navy Blue,Bold,Indoor (AC),0.37,0
Temple Visit,Cotton,Maroon,Bold,Indoor (AC),0.28,0
Gym/Workout,Cotton,Navy Blue,Bold,Indoor (AC),0.16,0
Corporate Meeting,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.53,0
Gym/Workout,Silk,Earth Tone,Professional,Indoor (AC),0.59,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.49,0
Temple Visit,Silk,Earth Tone,Minimalist,Indoor (AC),0.46,0
Temple Visit,Cotton,Earth Tone,Bold,Indoor (AC),0.35,0
Corporate Meeting,Linen,Black,Professional,Indoor (AC),0.7,0
Temple Visit,Viscose,Navy Blue,Professional,Indoor (AC),0.21,0
Gym/Workout,Georgette,Emerald Green,Professional,Indoor (AC),0.15,0
Dinner Gala,Linen,Maroon,Bold,Indoor (AC),0.16,0
Beach Party,Viscose,Black,Minimalist,Outdoor (Humid),0.31,0
Beach Party,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.84,1
Temple Visit,Polyester,Earth Tone,Professional,Indoor (AC),0.43,0
Temple Visit,Georgette,Black,Professional,Indoor (AC),0.46,0
Traditional Wedding,Silk,White,Minimalist,Outdoor (Humid),0.63,0
Pola/Market,Linen,Navy Blue,Bold,Indoor (AC),0.39,0
Traditional Wedding,Silk,Navy Blue,Professional,Outdoor (Humid),0.79,1
Gym/Workout,Linen,Emerald Green,Minimalist,Indoor (AC),0.33,0
Pola/Market,Linen,Emerald Green,Bold,Indoor (AC),0.42,0
Beach Party,Linen,Emerald Green,Professional,Indoor (AC),0.19,0
Pola/Market,Polyester,White,Bold,Outdoor (Humid),0.2,0
Corporate Meeting,Polyester,Navy Blue,Bold,Indoor (AC),0.39,0
Dinner Gala,Silk,Maroon,Bold,Outdoor (Humid),0.52,0
Gym/Workout,Georgette,Earth Tone,Professional,Indoor (AC),0.31,0
Dinner Gala,Polyester,Earth Tone,Bold,Outdoor (Humid),0.46,0
Corporate Meeting,Cotton,Maroon,Minimalist,Outdoor (Humid),0.8,1
Beach Party,Viscose,White,Minimalist,Outdoor (Humid),0.15,0
Pola/Market,Georgette,Maroon,Minimalist,Indoor (AC),0.28,0
Beach Party,Polyester,Navy Blue,Bold,Indoor (AC),0.22,0
Beach Party,Viscose,Earth Tone,Minimalist,Indoor (AC),0.28,0
Corporate Meeting,Viscose,Emerald Green,Bold,Indoor (AC),0.31,0
Corporate Meeting,Polyester,White,Professional,Outdoor (Humid),0.68,0
Dinner Gala,Polyester,Black,Professional,Indoor (AC),0.42,0
Dinner Gala,Georgette,Navy Blue,Professional,Outdoor (Humid),0.72,0
Corporate Meeting,Linen,Earth Tone,Bold,Indoor (AC),0.27,0
Gym/Workout,Polyester,Earth Tone,Bold,Indoor (AC),0.14,0
Temple Visit,Silk,Emerald Green,Minimalist,Indoor (AC),0.67,0
Beach Party,Georgette,Earth Tone,Bold,Outdoor (Humid),0.24,0
Corporate Meeting,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.42,0
Beach Party,Viscose,Maroon,Minimalist,Outdoor (Humid),0.37,0
Gym/Workout,Linen,Black,Minimalist,Outdoor (Humid),0.81,1
Temple Visit,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.31,0
Dinner Gala,Linen,Maroon,Minimalist,Outdoor (Humid),0.69,0
Traditional Wedding,Viscose,Black,Minimalist,Outdoor (Humid),0.19,0
Temple Visit,Georgette,Black,Professional,Indoor (AC),0.23,0
Traditional Wedding,Linen,Navy Blue,Minimalist,Indoor (AC),0.49,0
Beach Party,Cotton,Emerald Green,Professional,Outdoor (Humid),0.85,1
Pola/Market,Polyester,White,Minimalist,Outdoor (Humid),0.27,0
Traditional Wedding,Viscose,Navy Blue,Bold,Indoor (AC),0.1,0
Gym/Workout,Georgette,Black,Bold,Outdoor (Humid),0.29,0
Traditional Wedding,Georgette,Emerald Green,Bold,Indoor (AC),0.51,0
Corporate Meeting,Polyester,Earth Tone,Bold,Indoor (AC),0.22,0
Pola/Market,Viscose,Maroon,Bold,Outdoor (Humid),0.34,0
Gym/Workout,Viscose,Maroon,Minimalist,Indoor (AC),0.16,0
Dinner Gala,Cotton,Navy Blue,Professional,Outdoor (Humid),0.71,0
Temple Visit,Silk,Earth Tone,Professional,Indoor (AC),0.49,0
Gym/Workout,Polyester,Maroon,Professional,Indoor (AC),0.48,0
Corporate Meeting,Viscose,Black,Bold,Indoor (AC),0.22,0
Corporate Meeting,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.46,0
Dinner Gala,Polyester,Navy Blue,Professional,Indoor (AC),0.17,0
Gym/Workout,Polyester,Emerald Green,Bold,Outdoor (Humid),0.29,0
Dinner Gala,Georgette,White,Professional,Indoor (AC),0.9,1
Corporate Meeting,Georgette,Navy Blue,Bold,Indoor (AC),0.48,0
Temple Visit,Cotton,White,Bold,Indoor (AC),0.17,0
Pola/Market,Viscose,Emerald Green,Minimalist,Indoor (AC),0.46,0
Corporate Meeting,Viscose,Navy Blue,Bold,Outdoor (Humid),0.43,0
Corporate Meeting,Georgette,Maroon,Professional,Indoor (AC),0.48,0
Corporate Meeting,Cotton,White,Bold,Indoor (AC),0.2,0
Temple Visit,Silk,Earth Tone,Bold,Outdoor (Humid),0.22,0
Traditional Wedding,Silk,White,Bold,Outdoor (Humid),0.89,1
Temple Visit,Cotton,Maroon,Minimalist,Outdoor (Humid),0.73,0
Corporate Meeting,Viscose,Black,Minimalist,Indoor (AC),0.38,0
Pola/Market,Cotton,Navy Blue,Minimalist,Indoor (AC),0.31,0
Gym/Workout,Linen,White,Professional,Outdoor (Humid),0.5,0
Gym/Workout,Georgette,Black,Minimalist,Indoor (AC),0.27,0
Beach Party,Cotton,Maroon,Professional,Outdoor (Humid),0.85,1
Corporate Meeting,Linen,Maroon,Minimalist,Outdoor (Humid),0.56,0
Temple Visit,Polyester,Emerald Green,Bold,Outdoor (Humid),0.31,0
Dinner Gala,Polyester,Black,Minimalist,Outdoor (Humid),0.36,0
Pola/Market,Silk,Black,Bold,Outdoor (Humid),0.39,0
Corporate Meeting,Polyester,Maroon,Professional,Indoor (AC),0.43,0
Corporate Meeting,Viscose,Navy Blue,Bold,Indoor (AC),0.32,0
Corporate Meeting,Georgette,Navy Blue,Bold,Indoor (AC),0.31,0
Temple Visit,Linen,Maroon,Professional,Outdoor (Humid),0.54,0
Dinner Gala,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.8,1
Corporate Meeting,Viscose,Navy Blue,Professional,Indoor (AC),0.49,0
Gym/Workout,Cotton,Maroon,Professional,Indoor (AC),0.15,0
Gym/Workout,Viscose,Emerald Green,Professional,Indoor (AC),0.12,0
Beach Party,Cotton,Maroon,Minimalist,Outdoor (Humid),0.66,0
Beach Party,Viscose,Black,Minimalist,Outdoor (Humid),0.23,0
Corporate Meeting,Cotton,Emerald Green,Minimalist,Indoor (AC),0.35,0
Pola/Market,Polyester,White,Bold,Outdoor (Humid),0.15,0
Gym/Workout,Viscose,Earth Tone,Professional,Indoor (AC),0.33,0
Traditional Wedding,Georgette,Black,Minimalist,Outdoor (Humid),0.85,1
Corporate Meeting,Cotton,Black,Minimalist,Indoor (AC),0.48,0
Dinner Gala,Georgette,Navy Blue,Professional,Outdoor (Humid),0.59,0
Gym/Workout,Silk,Emerald Green,Professional,Indoor (AC),0.61,0
Corporate Meeting,Georgette,Navy Blue,Professional,Indoor (AC),0.75,1
Dinner Gala,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.75,1
Gym/Workout,Silk,White,Minimalist,Outdoor (Humid),0.44,0
Dinner Gala,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.55,0
Dinner Gala,Polyester,Navy Blue,Professional,Outdoor (Humid),0.27,0
Beach Party,Polyester,Black,Bold,Outdoor (Humid),0.1,0
Gym/Workout,Viscose,Black,Professional,Indoor (AC),0.28,0
Corporate Meeting,Linen,Maroon,Minimalist,Outdoor (Humid),0.73,0
Gym/Workout,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.15,0
Traditional Wedding,Cotton,Maroon,Professional,Indoor (AC),0.29,0
Temple Visit,Georgette,Emerald Green,Minimalist,Indoor (AC),0.42,0
Traditional Wedding,Viscose,Navy Blue,Bold,Indoor (AC),0.13,0
Corporate Meeting,Silk,Emerald Green,Minimalist,Indoor (AC),0.44,0
Pola/Market,Cotton,Black,Professional,Outdoor (Humid),0.61,0
Gym/Workout,Viscose,Emerald Green,Professional,Outdoor (Humid),0.48,0
Temple Visit,Silk,Navy Blue,Minimalist,Outdoor (Humid),0.27,0
Beach Party,Georgette,Earth Tone,Professional,Indoor (AC),0.43,0
Beach Party,Polyester,Black,Bold,Indoor (AC),0.35,0
Corporate Meeting,Silk,White,Bold,Indoor (AC),0.35,0
Traditional Wedding,Viscose,Black,Professional,Outdoor (Humid),0.19,0
Gym/Workout,Viscose,Maroon,Professional,Outdoor (Humid),0.1,0
Pola/Market,Polyester,Black,Minimalist,Indoor (AC),0.39,0
Dinner Gala,Polyester,White,Professional,Outdoor (Humid),0.31,0
Beach Party,Silk,White,Bold,Outdoor (Humid),0.25,0
Traditional Wedding,Polyester,Earth Tone,Professional,Outdoor (Humid),0.27,0
Gym/Workout,Cotton,Maroon,Professional,Outdoor (Humid),0.72,0
Pola/Market,Georgette,Maroon,Bold,Indoor (AC),0.37,0
Corporate Meeting,Georgette,Navy Blue,Bold,Outdoor (Humid),0.46,0
Beach Party,Georgette,Black,Professional,Outdoor (Humid),0.1,0
Gym/Workout,Georgette,Maroon,Minimalist,Outdoor (Humid),0.48,0
Gym/Workout,Viscose,Navy Blue,Bold,Outdoor (Humid),0.42,0
Dinner Gala,Georgette,Maroon,Bold,Indoor (AC),0.84,1
Dinner Gala,Linen,Maroon,Minimalist,Outdoor (Humid),0.73,0
Temple Visit,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.4,0
Gym/Workout,Linen,Black,Minimalist,Outdoor (Humid),0.86,1
Pola/Market,Linen,Black,Minimalist,Indoor (AC),0.13,0
Dinner Gala,Cotton,Navy Blue,Professional,Outdoor (Humid),0.52,0
Pola/Market,Cotton,Maroon,Minimalist,Indoor (AC),0.2,0
Corporate Meeting,Linen,Black,Professional,Outdoor (Humid),1.0,1
Dinner Gala,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.37,0
Gym/Workout,Viscose,Emerald Green,Professional,Outdoor (Humid),0.48,0
Temple Visit,Cotton,Emerald Green,Bold,Outdoor (Humid),0.68,0
Dinner Gala,Silk,Earth Tone,Professional,Indoor (AC),0.75,1
Beach Party,Georgette,Earth Tone,Professional,Outdoor (Humid),0.33,0
Traditional Wedding,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.65,0
Traditional Wedding,Polyester,Navy Blue,Professional,Outdoor (Humid),0.44,0
Beach Party,Viscose,Black,Minimalist,Indoor (AC),0.13,0
Temple Visit,Cotton,Emerald Green,Minimalist,Indoor (AC),0.39,0
Beach Party,Viscose,White,Minimalist,Indoor (AC),0.11,0
Beach Party,Silk,Black,Bold,Outdoor (Humid),0.18,0
Corporate Meeting,Cotton,Emerald Green,Bold,Outdoor (Humid),0.65,0
Beach Party,Polyester,Black,Minimalist,Indoor (AC),0.11,0
Traditional Wedding,Linen,Black,Professional,Outdoor (Humid),0.52,0
Dinner Gala,Viscose,Maroon,Minimalist,Outdoor (Humid),0.11,0
Pola/Market,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.21,0
Dinner Gala,Polyester,Black,Minimalist,Indoor (AC),0.41,0
Dinner Gala,Georgette,Black,Bold,Outdoor (Humid),0.86,1
Corporate Meeting,Silk,Emerald Green,Minimalist,Indoor (AC),0.62,0
Corporate Meeting,Linen,Emerald Green,Minimalist,Indoor (AC),0.21,0
Dinner Gala,Linen,Navy Blue,Bold,Indoor (AC),0.34,0
Dinner Gala,Viscose,Maroon,Minimalist,Outdoor (Humid),0.13,0
Temple Visit,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.59,0
Beach Party,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.12,0
Dinner Gala,Linen,Black,Minimalist,Outdoor (Humid),0.63,0
Dinner Gala,Silk,Black,Professional,Outdoor (Humid),0.6,0
Gym/Workout,Georgette,Navy Blue,Bold,Outdoor (Humid),0.43,0
Temple Visit,Silk,Maroon,Professional,Outdoor (Humid),0.4,0
Traditional Wedding,Linen,Earth Tone,Bold,Indoor (AC),0.38,0
Beach Party,Linen,Black,Professional,Indoor (AC),0.17,0
Dinner Gala,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.52,0
Pola/Market,Linen,Black,Professional,Indoor (AC),0.33,0
Temple Visit,Viscose,Earth Tone,Professional,Outdoor (Humid),0.23,0
Beach Party,Viscose,White,Minimalist,Indoor (AC),0.48,0
Gym/Workout,Polyester,Navy Blue,Minimalist,Indoor (AC),0.31,0
Dinner Gala,Viscose,Earth Tone,Bold,Outdoor (Humid),0.18,0
Temple Visit,Silk,Black,Bold,Indoor (AC),0.56,0
Traditional Wedding,Georgette,Black,Bold,Outdoor (Humid),0.81,1
Pola/Market,Linen,Black,Professional,Indoor (AC),0.2,0
Traditional Wedding,Viscose,Black,Professional,Outdoor (Humid),0.27,0
Temple Visit,Linen,Maroon,Minimalist,Indoor (AC),0.29,0
Gym/Workout,Georgette,Navy Blue,Professional,Outdoor (Humid),0.49,0
Pola/Market,Polyester,Emerald Green,Minimalist,Indoor (AC),0.47,0
Beach Party,Georgette,White,Minimalist,Indoor (AC),0.27,0
Beach Party,Viscose,Black,Bold,Indoor (AC),0.29,0
Temple Visit,Georgette,Earth Tone,Minimalist,Indoor (AC),0.49,0
Pola/Market,Polyester,Black,Minimalist,Outdoor (Humid),0.16,0
Traditional Wedding,Silk,Earth Tone,Professional,Indoor (AC),0.94,1
Beach Party,Linen,Emerald Green,Professional,Outdoor (Humid),0.54,0
Pola/Market,Silk,White,Minimalist,Indoor (AC),0.3,0
Beach Party,Georgette,Emerald Green,Bold,Indoor (AC),0.25,0
Traditional Wedding,Georgette,Black,Bold,Indoor (AC),0.68,0
Dinner Gala,Silk,Emerald Green,Professional,Indoor (AC),1.0,1
Beach Party,Silk,Emerald Green,Professional,Indoor (AC),0.46,0
Corporate Meeting,Linen,White,Minimalist,Outdoor (Humid),0.69,0
Gym/Workout,Viscose,Black,Minimalist,Indoor (AC),0.42,0
Traditional Wedding,Cotton,Navy Blue,Bold,Outdoor (Humid),0.83,1
Temple Visit,Polyester,Black,Bold,Outdoor (Humid),0.14,0
Temple Visit,Silk,Black,Professional,Indoor (AC),0.32,0
Beach Party,Viscose,Black,Minimalist,Outdoor (Humid),0.35,0
Dinner Gala,Polyester,White,Bold,Outdoor (Humid),0.37,0
Pola/Market,Silk,Black,Bold,Outdoor (Humid),0.49,0
Traditional Wedding,Viscose,Navy Blue,Minimalist,Indoor (AC),0.4,0
Dinner Gala,Viscose,Earth Tone,Professional,Indoor (AC),0.38,0
Temple Visit,Cotton,White,Bold,Indoor (AC),0.16,0
Gym/Workout,Viscose,Black,Bold,Outdoor (Humid),0.28,0
Temple Visit,Viscose,Black,Minimalist,Outdoor (Humid),0.27,0
Traditional Wedding,Viscose,Emerald Green,Minimalist,Outdoor (Humid),0.2,0
Temple Visit,Polyester,Navy Blue,Bold,Indoor (AC),0.47,0
Temple Visit,Silk,Black,Professional,Outdoor (Humid),0.32,0
